County,County_Population,county_name,Biden Votes,Trump Votes,FIPS,Biden Votes per Capita,Trump Votes per Capita
1,171415,ALAMANCE,38825,46056,37001,0.2264970976869002,0.2686812706005892
3,36444,ALEXANDER,4145,15888,37003,0.11373614312369663,0.43595653605531776
5,10888,ALLEGHANY,1486,4527,37005,0.13648052902277738,0.4157788390889052
7,22055,ANSON,5789,5321,37007,0.26248016322829293,0.24126048515075946
9,26577,ASHE,4164,11451,37009,0.15667682582684275,0.4308612710238176
11,17806,AVERY,2191,7172,37011,0.12304841064809614,0.40278557789509156
13,44652,BEAUFORT,9633,16437,37013,0.21573501746842247,0.3681134103735555
15,17934,BERTIE,5939,3817,37015,0.33115869298539086,0.21283595405375264
17,29606,BLADEN,7326,9676,37017,0.24744984124839559,0.3268256434506519
19,136693,BRUNSWICK,33310,55850,37019,0.24368475342555945,0.40857981023168705
21,269452,BUNCOMBE,96515,62412,37021,0.35818995591051467,0.231625669878123
23,87570,BURKE,13118,31019,37023,0.14980015987210232,0.35421948155761107
25,225804,CABARRUS,52162,63237,37025,0.23100565091849568,0.2800526119997874
27,80652,CALDWELL,10245,32119,37027,0.12702722809105788,0.3982418290928929
29,10355,CAMDEN,1537,4312,37029,0.148430709802028,0.4164171897633993
31,67686,CARTERET,12093,30028,37031,0.17866323907455012,0.44363679342847856
33,22736,CASWELL,4860,7089,37033,0.2137579169598874,0.31179627023223083
35,160610,CATAWBA,25689,56588,37035,0.1599464541435776,0.3523317352593238
37,76285,CHATHAM,26787,21186,37037,0.35114373730091103,0.2777217015140591
39,28774,CHEROKEE,3583,12628,37039,0.12452213804128727,0.43886842288176825
41,13708,CHOWAN,3247,4471,37041,0.23686898161657427,0.3261599066238693
43,11089,CLAY,1699,5112,37043,0.15321489764631616,0.46099738479574354
45,99519,CLEVELAND,16955,33798,37045,0.1703694771852611,0.33961354113284903
47,50623,COLUMBUS,9446,16832,37047,0.18659502597633487,0.33249708630464414
49,100720,CRAVEN,21148,31032,37049,0.20996822875297855,0.3081016679904686
51,334728,CUMBERLAND,84469,60032,37051,0.25235116273511626,0.1793456179345618
53,28100,CURRITUCK,4195,11657,37053,0.14928825622775801,0.41483985765124554
55,36915,DARE,9936,13938,37055,0.2691588785046729,0.3775700934579439
57,168930,DAVIDSON,22636,64658,37057,0.13399632984076246,0.3827502515834961
59,42712,DAVIE,6713,18228,37059,0.15716894549541113,0.42676531185615285
61,48715,DUPLIN,8767,13793,37061,0.1799651031509802,0.2831366109001334
63,324833,DURHAM,144688,32459,37063,0.44542272490787577,0.09992519232959705
65,48900,EDGECOMBE,16089,9206,37065,0.32901840490797546,0.18826175869120654
67,382590,FORSYTH,113033,85064,37067,0.29544159544159543,0.222337227841815
69,68573,FRANKLIN,15879,20901,37069,0.23156344333775683,0.30479926501684335
71,227943,GASTON,40959,73033,37071,0.1796896592569195,0.32040027550747335
73,10478,GATES,2546,3367,37073,0.24298530253865241,0.3213399503722084
75,8030,GRAHAM,905,3710,37075,0.11270236612702367,0.46201743462017436
77,60992,GRANVILLE,14565,16647,37077,0.23880181007345225,0.2729374344176285
79,20451,GREENE,3832,4874,37079,0.18737470050364285,0.23832575424184638
81,541299,GUILFORD,173086,107294,37081,0.319760428155234,0.19821577353736106
83,48622,HALIFAX,15545,10080,37083,0.3197112418246884,0.20731356176216528
85,133568,HARNETT,22093,35177,37085,0.16540638476281744,0.2633639793962626
87,62089,HAYWOOD,13144,22834,37087,0.21169611364331847,0.36776240557908807
89,116281,HENDERSON,27211,40032,37089,0.23401071542212398,0.3442694851265469
91,21552,HERTFORD,7097,3479,37091,0.32929658500371195,0.16142353377876764
93,52082,HOKE,11804,9453,37093,0.22664260205061248,0.18150224645750931
95,4589,HYDE,1046,1418,37095,0.22793636957942906,0.30899978208760076
97,186693,IREDELL,33888,67010,37097,0.18151725024505472,0.3589315078765674
99,43109,JACKSON,9591,11356,37099,0.22248254424830083,0.26342527082511774
101,215999,JOHNSTON,41257,68353,37101,0.19100551391441628,0.3164505391228663
103,9172,JONES,2197,3280,37103,0.23953336240732664,0.35761011774967294
105,63285,LEE,12143,16469,37105,0.19187801216718023,0.2602354428379553
107,55122,LENOIR,13605,14590,37107,0.24681615326004136,0.2646856064729146
109,86810,LINCOLN,13274,36341,37109,0.15290865107706486,0.41862688630342126
111,44578,MCDOWELL,5832,16883,37111,0.13082686526986406,0.37872941809861366
113,37014,MACON,6230,14211,37113,0.1683146917382612,0.3839358080726212
115,21193,MADISON,4901,7979,37115,0.2312556032652291,0.3764922380031142
117,22031,MARTIN,5911,6532,37117,0.2683037538014616,0.2964913077027824
119,1115482,MECKLENBURG,378107,179211,37119,0.33896288779200384,0.1606579039374907
121,14903,MITCHELL,1867,7090,37121,0.1252767899080722,0.475743138965309
123,25751,MONTGOMERY,4327,8411,37123,0.1680323094248767,0.32662809211292765
125,99727,MOORE,20779,36764,37125,0.20835881957744642,0.3686464046847895
127,94970,NASH,25947,25827,37127,0.2732125934505633,0.27194903653785407
129,225702,NEW HANOVER,66138,63331,37129,0.2930324055613154,0.2805956526747658
131,17471,NORTHAMPTON,6069,3989,37131,0.3473756510789308,0.22832121801843056
133,204576,ONSLOW,24266,46078,37133,0.11861606444548725,0.22523658689191303
135,148696,ORANGE,63594,20176,37135,0.4276779469521709,0.13568623231290686
137,12276,PAMLICO,2713,4849,37137,0.2210003258390355,0.3949983708048224
139,40568,PASQUOTANK,9832,9770,37139,0.242358509169789,0.2408302110037468
141,60203,PENDER,11723,21956,37141,0.19472451538959853,0.364699433583044
143,13005,PERQUIMANS,2492,4903,37143,0.19161860822760476,0.3770088427527874
145,39097,PERSON,8465,13184,37145,0.2165127759163107,0.3372125738547715
147,170243,PITT,47252,38982,37147,0.2775561990801384,0.22897857768013957
149,19328,POLK,4518,7689,37149,0.23375413907284767,0.3978166390728477
151,144171,RANDOLPH,15618,56894,37151,0.10832969182429199,0.3946286007588211
153,42946,RICHMOND,8754,11830,37153,0.20383737717133144,0.275462208354678
155,116530,ROBESON,19020,27806,37155,0.16321977173260105,0.2386166652364198
157,91096,ROCKINGHAM,15992,31301,37157,0.17555106700623518,0.34360454904715904
159,146875,ROWAN,23114,49297,37159,0.15737191489361702,0.3356391489361702
161,64444,RUTHERFORD,9135,24891,37161,0.1417509775929489,0.38624231891254424
163,59036,SAMPSON,10966,17411,37163,0.18575106714547057,0.29492174266549226
165,34174,SCOTLAND,7186,7473,37165,0.2102768186340493,0.21867501609410664
167,62504,STANLY,8129,25458,37167,0.13005567643670804,0.4073019326763087
169,44520,STOKES,5286,20142,37169,0.11873315363881401,0.45242587601078166
171,71359,SURRY,8721,27538,37171,0.12221303549657367,0.38590787426953854
173,14117,SWAIN,2780,4161,37173,0.1969256924275696,0.29475100942126514
175,32986,TRANSYLVANIA,8444,11636,37175,0.2559873885890984,0.35275571454556476
177,3245,TYRRELL,758,1044,37177,0.23359013867488443,0.3217257318952234
179,238267,UNION,48725,80382,37179,0.20449747552115904,0.3373610277545778
181,42578,VANCE,12431,8391,37181,0.29195828831791065,0.1970736060876509
183,1129410,WAKE,393336,226197,37183,0.3482667941668659,0.2002789066857917
185,18642,WARREN,6400,3752,37185,0.34331080356184956,0.2012659585881343
187,11003,WASHINGTON,3396,2781,37187,0.3086430973370899,0.2527492502044897
189,54086,WATAUGA,17122,14451,37189,0.3165699071848537,0.2671855933143512
191,117333,WAYNE,24215,30709,37191,0.20637842721144095,0.2617251753556118
193,65969,WILKES,7511,27592,37193,0.11385650835998727,0.4182570601343055
195,78784,WILSON,20754,19581,37195,0.2634291226645004,0.24854031275385866
197,37214,YADKIN,3763,15933,37197,0.10111785887031763,0.4281453216531413
199,18470,YANCEY,3688,7516,37199,0.19967514889009205,0.4069301570113698
